"global_turn_id";"query";"target_answer";"alternative_answer";"level_0_query_need";"level_1_query_need";"is_exact_query_answer_match";"is_internal_knowledge_source";"is_reasoning";"recipe_id";"recipe_title";"sentence";"step_number";"step_text";"conv_id";"turn_id";"is_generated";"sentence_number";"is_template";"step_id"
"0_1";"what type of stems do I use in this recipe?";"thick cilantro";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note).";"1";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note). Sprinkle with about 1 teaspoon of salt. Pound into a rough paste and set aside. Thinly slice remaining half chili and set aside for garnish.";"0";"1";"False";"1";"False";"390"
"0_2";"what should I combine ingredients in?";"bowl";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note).";"1";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note). Sprinkle with about 1 teaspoon of salt. Pound into a rough paste and set aside. Thinly slice remaining half chili and set aside for garnish.";"0";"2";"False";"1";"False";"390"
"0_3";"What ingredients do I need for the paste?";"garlic, ginger, thick cilantro stems, and half of the chili";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note)";"1";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note). Sprinkle with about 1 teaspoon of salt. Pound into a rough paste and set aside. Thinly slice remaining half chili and set aside for garnish.";"0";"3";"True";"1";"False";"390"
"0_4";"What kind of cooking tool do I need to use to combine the ingredients for the paste?";"mortar and pestle";"";"fact";"equipment";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note)";"1";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note). Sprinkle with about 1 teaspoon of salt. Pound into a rough paste and set aside. Thinly slice remaining half chili and set aside for garnish.";"0";"4";"True";"1";"False";"390"
"0_5";"What should I do with the other half of the chili?";"Thinly slice remaining half chili and set aside for garnish.";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Thinly slice remaining half chili and set aside for garnish.";"1";"Combine garlic, ginger, thick cilantro stems, and half of the chili in the bowl of a mortar and pestle (see note). Sprinkle with about 1 teaspoon of salt. Pound into a rough paste and set aside. Thinly slice remaining half chili and set aside for garnish.";"0";"5";"True";"4";"False";"390"
"0_6";"what do I need to add 3 tablespoons of?";"coconut milk";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven.";"2";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven. Add 1 tablespoon of vegetable oil. Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes. Continue cooking, stirring constantly, until solids turn pale golden brown, about 1 minute longer. Add the pounded garlic/ginger mixture and cook, stirring, until aromatic, about 30 seconds. Add half of sliced scallions and turmeric and cook, stirring, until lightly softened, about 1 minute.";"0";"6";"False";"1";"False";"391"
"0_7";"What should I do with the fat from the coconut milk?";"Carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven.";"";"competence";"preparation";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven.";"2";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven. Add 1 tablespoon of vegetable oil. Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes. Continue cooking, stirring constantly, until solids turn pale golden brown, about 1 minute longer. Add the pounded garlic/ginger mixture and cook, stirring, until aromatic, about 30 seconds. Add half of sliced scallions and turmeric and cook, stirring, until lightly softened, about 1 minute.";"0";"7";"True";"1";"False";"391"
"0_8";"how long will it take for the coconut fat to separate?";"about 4 minutes";"";"fact";"time";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes.";"2";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven. Add 1 tablespoon of vegetable oil. Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes. Continue cooking, stirring constantly, until solids turn pale golden brown, about 1 minute longer. Add the pounded garlic/ginger mixture and cook, stirring, until aromatic, about 30 seconds. Add half of sliced scallions and turmeric and cook, stirring, until lightly softened, about 1 minute.";"0";"8";"False";"3";"False";"391"
"0_9";"At what heat should the Dutch oven be set to cook the coconut fat?";"medium-high heat.";"";"fact";"temperature";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes.";"2";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven. Add 1 tablespoon of vegetable oil. Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes. Continue cooking, stirring constantly, until solids turn pale golden brown, about 1 minute longer. Add the pounded garlic/ginger mixture and cook, stirring, until aromatic, about 30 seconds. Add half of sliced scallions and turmeric and cook, stirring, until lightly softened, about 1 minute.";"0";"9";"True";"3";"False";"391"
"0_10";"what else is in the mixture apart from garlic?";"ginger";"";"fact";"ingredient";"True";"True";"False";"49";"Vegan Peanut, Sweet Potato, and Kale Soup With Coconut Recipe";"Add the pounded garlic/ginger mixture and cook, stirring, until aromatic, about 30 seconds.";"2";"Open 1 can of coconut milk and carefully spoon off about 3 tablespoons of the solid fat from the surface and place it in a large Dutch oven. Add 1 tablespoon of vegetable oil. Heat over medium-high heat, stirring frequently, until coconut fat separates and solids start to sizzle, about 4 minutes. Continue cooking, stirring constantly, until solids turn pale golden brown, about 1 minute longer. Add the pounded garlic/ginger mixture and cook, stirring, until aromatic, about 30 seconds. Add half of sliced scallions and turmeric and cook, stirring, until lightly softened, about 1 minute.";"0";"10";"False";"5";"False";"391"
